"Date","Price","Open","High","Low","Vol.","Change %"
"02/15/2022","401.55","402.39","403.93","400.33","215.61M","0.74%"
"02/14/2022","398.59","402.68","404.82","396.84","248.33M","-0.96%"
"02/11/2022","402.47","408.16","409.59","399.92","283.31M","-0.96%"
"02/10/2022","406.36","411.66","416.29","404.32","215.04M","-2.54%"
"02/09/2022","416.96","412.36","417.11","412.36","184.27M","2.33%"
"02/08/2022","407.47","409.21","410.82","406.67","211.97M","-0.54%"
"02/07/2022","409.67","410.78","412.56","408.90","176.21M","-0.16%"
"02/04/2022","410.34","412.44","415.15","406.86","184.38M","-1.05%"
"02/03/2022","414.68","417.22","418.41","414.48","171.73M","-1.18%"
"02/02/2022","419.64","415.33","420.46","415.33","194.38M","1.35%"
"02/01/2022","414.03","416.14","416.72","411.50","202.42M","-0.54%"
"01/31/2022","416.27","408.75","416.36","407.81","225.80M","1.45%"
"01/28/2022","410.33","398.35","410.37","393.84","212.57M","3.17%"
"01/27/2022","397.74","406.14","409.65","396.10","205.80M","-1.58%"
"01/26/2022","404.14","412.30","417.50","401.43","230.47M","-1.49%"
"01/25/2022","410.26","407.54","413.41","403.30","219.26M","-0.44%"
"01/24/2022","412.09","408.41","413.05","397.48","295.74M","0.12%"
"01/21/2022","411.61","414.60","416.76","410.55","222.10M","-0.27%"
"01/20/2022","412.74","417.79","423.07","412.42","188.92M","-1.19%"
"01/19/2022","417.70","424.60","426.87","417.67","169.22M","-1.22%"
"01/18/2022","422.88","424.32","424.80","420.12","181.48M","-0.92%"
"01/14/2022","426.82","429.35","429.35","422.15","177.03M","-1.01%"
"01/13/2022","431.18","433.09","435.16","430.45","147.47M","-0.27%"
"01/12/2022","432.34","431.49","434.86","431.49","146.66M","0.23%"
"01/11/2022","431.34","430.56","432.01","425.25","150.32M","0.16%"
"01/10/2022","430.66","431.02","431.02","425.10","188.64M","-0.51%"
"01/07/2022","432.88","434.72","435.83","431.78","195.78M","-0.72%"
"01/06/2022","436.00","436.82","437.71","431.65","176.14M","0.04%"
"01/05/2022","435.84","447.95","447.95","435.64","196.63M","-2.95%"
"01/04/2022","449.08","450.84","453.63","448.70","180.10M","-0.21%"
"01/03/2022","450.03","454.34","454.56","443.66","174.60M","-0.76%"
"12/31/2021","453.47","452.97","456.48","452.61","123.18M","0.09%"
"12/30/2021","453.04","451.61","454.69","451.36","117.88M","0.27%"
"12/29/2021","451.81","449.72","452.80","447.71","111.97M","0.62%"
"12/28/2021","449.01","446.90","449.35","446.28","114.49M","0.37%"
"12/27/2021","447.34","440.68","447.43","439.77","125.83M","1.72%"
"12/23/2021","439.78","441.27","441.74","437.67","114.30M","-0.17%"
"12/22/2021","440.55","437.36","440.78","437.25","136.90M","0.93%"
"12/21/2021","436.47","433.44","438.30","433.44","183.83M","1.05%"
"12/20/2021","431.92","431.31","433.60","427.86","219.41M","-0.90%"
"12/17/2021","435.86","435.78","440.25","434.82","380.98M","-0.12%"
"12/16/2021","436.40","436.77","439.83","434.04","195.91M","0.08%"
"12/15/2021","436.03","430.75","436.77","430.47","198.46M","1.41%"
"12/14/2021","429.98","434.43","435.20","427.70","189.13M","-1.37%"
"12/13/2021","435.94","430.97","437.96","429.71","183.25M","1.01%"
"12/10/2021","431.58","431.88","432.40","429.89","154.61M","0.29%"
"12/09/2021","430.35","434.69","434.85","430.20","142.96M","-1.36%"
"12/08/2021","436.28","433.77","437.30","432.83","175.71M","0.62%"
"12/07/2021","433.58","430.38","434.57","429.85","189.46M","1.52%"
"12/06/2021","427.09","423.92","430.21","423.67","188.52M","1.53%"
"12/03/2021","420.65","423.43","424.58","417.40","203.09M","-0.32%"
"12/02/2021","421.99","412.49","424.48","412.33","207.54M","2.88%"
"12/01/2021","410.19","420.85","425.35","410.10","223.12M","-1.49%"
"11/30/2021","416.38","422.13","423.76","416.37","315.68M","-2.09%"
"11/29/2021","425.25","423.74","428.20","421.45","176.37M","1.05%"
"11/26/2021","420.83","426.71","426.80","419.67","130.96M","-2.68%"
"11/24/2021","432.41","427.36","433.10","426.64","131.70M","1.21%"
"11/23/2021","427.24","423.94","428.32","423.37","168.48M","0.81%"
"11/22/2021","423.80","426.87","427.57","423.47","157.98M","-0.55%"
"11/19/2021","426.14","429.03","429.04","425.04","165.48M","-0.56%"
"11/18/2021","428.52","429.42","429.54","426.72","175.91M","-0.04%"
"11/17/2021","428.70","426.06","429.19","420.94","189.81M","0.37%"
"11/16/2021","427.13","430.14","430.14","426.39","165.37M","-0.64%"
"11/15/2021","429.88","427.28","429.92","426.35","179.44M","0.59%"
"11/12/2021","427.35","428.37","428.61","426.00","127.61M","0.01%"
"11/11/2021","427.30","427.36","427.36","424.34","145.62M","0.20%"
"11/10/2021","426.44","427.40","429.70","426.33","151.86M","-0.47%"
"11/09/2021","428.44","428.36","429.16","427.24","129.27M","0.20%"
"11/08/2021","427.60","428.80","428.89","424.65","149.39M","-0.07%"
"11/05/2021","427.91","429.26","432.90","427.15","183.31M","0.33%"
"11/04/2021","426.51","430.81","432.06","425.05","210.27M","-0.96%"
"11/03/2021","430.64","429.71","431.38","427.33","269.71M","0.27%"
"11/02/2021","429.48","429.78","431.22","426.43","183.74M","0.37%"
"11/01/2021","427.88","427.27","428.73","421.34","151.32M","0.32%"
"10/29/2021","426.51","429.68","431.13","424.91","260.44M","-1.17%"
